,B01003_001E,state,county,tract
727,3013,06,037,109604
728,4787,06,037,109700
729,5221,06,037,109800
730,3156,06,037,111100
731,3459,06,037,111201
732,5593,06,037,111202
733,5909,06,037,111204
734,3905,06,037,111205
735,4363,06,037,111206
736,5253,06,037,111302
737,4835,06,037,111303
738,2752,06,037,111304
739,2353,06,037,111401
740,6535,06,037,111402
741,3590,06,037,113101
742,2783,06,037,113102
743,4264,06,037,113211
744,2998,06,037,113212
745,5652,06,037,113213
746,2275,06,037,113231
747,4394,06,037,113232
748,5400,06,037,113234
749,1699,06,037,113235
750,5004,06,037,113237
751,4313,06,037,113238
752,2183,06,037,113239
753,3972,06,037,113301
754,3779,06,037,113303
755,2942,06,037,222001
756,5072,06,037,222002
757,4614,06,037,222100
758,4127,06,037,222200
759,5195,06,037,222500
760,5638,06,037,222600
761,3959,06,037,222700
762,2906,06,037,224010
763,2746,06,037,224020
764,2632,06,037,224200
765,2169,06,037,224310
766,2947,06,037,224320
767,3083,06,037,224410
768,2651,06,037,224420
769,3280,06,037,224600
770,2880,06,037,224701
771,3145,06,037,224702
772,2268,06,037,226001
773,2053,06,037,226002
774,3627,06,037,226410
775,5382,06,037,226420
776,3135,06,037,226701
777,4954,06,037,226702
778,5163,06,037,227010
779,3726,06,037,227020
780,5377,06,037,228100
781,4338,06,037,228210
782,4490,06,037,228220
783,4562,06,037,228310
784,3271,06,037,228320
785,3489,06,037,228410
786,3337,06,037,228420
787,5196,06,037,228500
788,5041,06,037,228600
789,4024,06,037,228710
790,5053,06,037,228720
791,5421,06,037,228800
792,2947,06,037,228900
793,5157,06,037,229100
794,5012,06,037,229200
795,5846,06,037,229300
796,3948,06,037,229410
797,4421,06,037,229420
798,3374,06,037,231100
799,4795,06,037,433804
800,5724,06,037,433901
801,5328,06,037,433903
802,4128,06,037,434001
803,4104,06,037,434003
804,3037,06,037,434004
805,6804,06,037,434100
806,1718,06,037,460001
807,2795,06,037,460002
808,6076,06,037,460101
809,5622,06,037,460200
810,4239,06,037,460301
